R,G,B,X,Y
0.619607843,0.764705882,0.835294118,0.010416667,0.7109375
0.623529412,0.768627451,0.839215686,0.010416667,0.71875
0.62745098,0.768627451,0.831372549,0.010416667,0.7265625
0.62745098,0.768627451,0.831372549,0.010416667,0.734375
0.631372549,0.77254902,0.835294118,0.010416667,0.7421875
0.631372549,0.77254902,0.82745098,0.010416667,0.75
0.631372549,0.780392157,0.831372549,0.010416667,0.7578125
0.631372549,0.780392157,0.823529412,0.010416667,0.765625
0.631372549,0.780392157,0.823529412,0.010416667,0.7734375
0.635294118,0.784313725,0.82745098,0.010416667,0.78125
0.639215686,0.784313725,0.819607843,0.010416667,0.7890625
0.639215686,0.784313725,0.819607843,0.010416667,0.796875
0.643137255,0.788235294,0.823529412,0.010416667,0.8046875
0.643137255,0.788235294,0.823529412,0.010416667,0.8125
0.658823529,0.792156863,0.82745098,0.010416667,0.8203125
0.658823529,0.792156863,0.82745098,0.010416667,0.828125
0.658823529,0.792156863,0.82745098,0.010416667,0.8359375
0.662745098,0.796078431,0.831372549,0.010416667,0.84375
0.666666667,0.796078431,0.823529412,0.010416667,0.8515625
0.666666667,0.796078431,0.823529412,0.010416667,0.859375
0.670588235,0.8,0.82745098,0.010416667,0.8671875
0.670588235,0.8,0.82745098,0.010416667,0.875
0.662745098,0.8,0.815686275,0.010416667,0.8828125
0.662745098,0.8,0.815686275,0.010416667,0.890625
0.662745098,0.8,0.815686275,0.010416667,0.8984375
0.666666667,0.803921569,0.819607843,0.010416667,0.90625
0.666666667,0.803921569,0.819607843,0.010416667,0.9140625
0.666666667,0.803921569,0.819607843,0.010416667,0.921875
0.674509804,0.803921569,0.823529412,0.010416667,0.9296875
0.674509804,0.803921569,0.823529412,0.010416667,0.9375
0.68627451,0.807843137,0.82745098,0.010416667,0.9453125
0.68627451,0.807843137,0.82745098,0.010416667,0.953125
0.690196078,0.811764706,0.831372549,0.010416667,0.9609375
0.690196078,0.811764706,0.831372549,0.010416667,0.96875
0.698039216,0.811764706,0.835294118,0.010416667,0.9765625
0.701960784,0.815686275,0.839215686,0.010416667,0.984375
0.705882353,0.819607843,0.843137255,0.010416667,0.9921875
0.705882353,0.819607843,0.843137255,0.010416667,1
0.541176471,0.690196078,0.780392157,0.020833333,0.0078125
0.549019608,0.698039216,0.788235294,0.020833333,0.015625
0.556862745,0.705882353,0.796078431,0.020833333,0.0234375
0.568627451,0.717647059,0.807843137,0.020833333,0.03125
0.57254902,0.721568627,0.811764706,0.020833333,0.0390625
0.57254902,0.721568627,0.811764706,0.020833333,0.046875
0.568627451,0.717647059,0.807843137,0.020833333,0.0546875
0.564705882,0.71372549,0.803921569,0.020833333,0.0625
0.568627451,0.717647059,0.807843137,0.020833333,0.0703125
0.568627451,0.717647059,0.807843137,0.020833333,0.078125
0.568627451,0.717647059,0.807843137,0.020833333,0.0859375
0.568627451,0.717647059,0.807843137,0.020833333,0.09375
0.568627451,0.717647059,0.807843137,0.020833333,0.1015625
0.568627451,0.717647059,0.807843137,0.020833333,0.109375
0.568627451,0.717647059,0.807843137,0.020833333,0.1171875
0.568627451,0.717647059,0.807843137,0.020833333,0.125
0.568627451,0.729411765,0.815686275,0.020833333,0.1328125
0.568627451,0.729411765,0.815686275,0.020833333,0.140625
0.568627451,0.729411765,0.815686275,0.020833333,0.1484375
0.568627451,0.729411765,0.815686275,0.020833333,0.15625
0.57254902,0.733333333,0.819607843,0.020833333,0.1640625
0.57254902,0.733333333,0.819607843,0.020833333,0.171875
0.57254902,0.733333333,0.819607843,0.020833333,0.1796875
0.576470588,0.737254902,0.823529412,0.020833333,0.1875
0.57254902,0.733333333,0.819607843,0.020833333,0.1953125
0.57254902,0.733333333,0.819607843,0.020833333,0.203125
0.57254902,0.733333333,0.819607843,0.020833333,0.2109375
0.57254902,0.733333333,0.819607843,0.020833333,0.21875
0.57254902,0.733333333,0.819607843,0.020833333,0.2265625
